15.0526|0.6455|-23.5998
18.4526|0.6455|-23.5998
13.0526|0.6455|-23.5998
21.2526|0.6455|-21.3107
20.7026|0.6455|-21.3107
17.9026|0.6455|-23.5998
15.6026|0.6455|-21.3107
15.6026|0.6455|-23.5998
21.2526|0.6455|-23.5998
20.7026|0.6455|-23.5998
19.6851|0.6455|-21.3107
13.0526|0.6455|-21.3107
17.9026|0.6455|-21.3107
15.0526|0.6455|-21.3107
40.8009|0.6455|-18.6179
42.7620|0.6455|-18.6179
43.5309|0.6455|-17.1379
45.2954|0.6455|-17.1379
45.3454|0.6455|-14.9193
43.3309|0.6455|-14.9193
37.9663|0.6455|-16.7196
40.9530|0.6455|-16.7196
39.5034|0.6455|-16.7196
40.7163|0.6455|-15.3376
39.2667|0.6455|-15.3376
38.6708|0.6455|-14.2489
38.6708|0.6455|-12.7993
38.6708|0.6455|-11.3496
40.4777|0.6455|-11.3496
40.4777|0.6455|-12.7993
42.7620|0.6455|-13.4449
40.8009|0.6455|-13.4449
32.9743|0.6455|-8.6301
30.6243|0.6455|-8.6301
33.5243|0.6455|-8.6301
36.0243|0.6455|-8.6301
32.9743|0.6455|-6.5979
33.5243|0.6455|-6.5979
36.0243|0.6455|-6.5979
30.6243|0.6455|-6.5979
29.3736|0.6455|-14.4395
30.8233|0.6455|-14.4395
29.3736|0.6455|-12.6286
30.8233|0.6455|-12.6286
27.1628|0.6455|-15.3909
27.1628|0.6455|-12.3412
27.1628|0.6455|-13.9195
29.0459|0.6455|-15.3909
29.0459|0.6455|-12.3412
22.6243|0.6455|-6.3195
19.5743|0.6455|-6.3195
16.8869|0.6455|-6.3195
20.1243|0.6455|-6.3195
21.2550|0.6455|-4.0304
19.0050|0.6455|-4.0304
18.4550|0.6455|-4.0304
16.1550|0.6455|-4.0304
14.5724|0.6455|-4.6523
14.5724|0.6455|-6.6658
14.8049|0.6455|-9.4390
14.2549|0.6455|-9.4390
13.5477|0.6455|-7.1499
16.3594|0.6455|-6.8621
16.3594|0.6455|-8.8756
10.9737|0.6455|-13.9347
10.9737|0.6455|-16.5480
10.9737|0.6455|-11.9051
10.9737|0.6455|-18.5610
9.1933|0.6455|-16.5480
9.1933|0.6455|-18.5610
9.1933|0.6455|-13.9347
9.1933|0.6455|-11.9051
30.79|1.1|-25.3
28.79|1.1|-22.3
25.13|1.1|-25.3
25.13|1.1|-19.9
30.79|1.1|-19.9
5.5|2|-15
14.4|0.8|-18.3
7.8|0.95|-6.18
7.8|0.95|-20.18
33.66|0.69|-2.18
31.09|0.61|-3.51
35.66|0.61|-3.49
34.79|1.3|-17
21.67|0.89|-16.48|0.1|0.9|0.1
40.76|1.0|-8.09|1|1|0
38.2|1.0|-8.75|1|1|0
39.45|1.23|-23.20|0.1|0.9|0.1
32.9|0.8|-13.46|0.1|0.9|0.1
34.1|0.8|-13.46|0.1|0.9|0.1
35.3|0.8|-13.46|0.1|0.9|0.1
35.64|1.32|-22.6
